Species,Set.ID,Set.Name,Set.Tag,Source.Database,Version.information,Set.Size,Set.Composition,Description,X,X.1
Homo sapiens,ALANINE-SYN2-PWY,Alanine biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,4,"HMDB0000243, HMDB0000148, HMDB0000208, HMDB0000161","L-alanine is an essential component of protein. In bacteria L-alanine is also an important component of peptidoglycan (although the latter contains roughly 3 times more D-alanine than L-alanine). Only about a tenth of total alanine synthesized is incorporated into peptidoglycan.

At least three pathways ( L-alanine biosynthesis I, L-alanine biosynthesis II, and L-alanine biosynthesis III) are known for production of L-alanine. Production of L-alanine from pyruvate via an aminotransferase is the main route for L-alanine production is humans, and one of several routes operating in bacteria [Wang87].",NA,
Homo sapiens,ARGININE-SYN4-PWY,Ornithine de novo  biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,15,"HMDB0059597, HMDB0001341, HMDB0041827, HMDB0002142, HMDB0001228, HMDB0000217, HMDB0002104, HMDB0001487, HMDB0000538, HMDB0000221, HMDB0000148, HMDB0000214, HMDB0000208, HMDB0000902, HMDB0002111","General Background:
L-ornithine is an amino acid, but it is not a component of proteins nor is it coded for by DNA. In mammals, it plays a role in the urea cycle for the disposal of ammonia where it is synthesized from L-arginine by arginase 1. It is also a precursor of L-arginine synthesis in the urea cycle and citrulline-nitric oxide cycle.

About this Pathway:
This pathway describes the de novo biosynthesis of L-ornithine from 2-oxoglutarate which occurs in the mitochondria.

L-glutamate is formed from 2-oxoglutarate within the mitochondrial matrix by the mitochondrial glutamate dehydrogenases [Shashidharan94]. L-glutamate is then converted to L-glutamate-5-semialdehyde by mitochondrial ¦Ä-1-pyrroline-5-carboxylate synthase [Aral96].

L-glutamate-5-semialdehyde can spontaneously cyclize to (S)-1-pyrroline-5-carboxylate, an intermediate in L-proline biosynthesis.

The conversion of L-glutamate-5-semialdehyde to L-ornithine occurs within the mitochondrial lumen by ornithine aminotransferase [Kobayashi89].

At this point, L-ornithine can enter either citrulline-nitric oxide cycle or urea cycle to synthesize L-arginine.",NA,
Homo sapiens,ARGSPECAT-PWY,Spermine biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,7,"HMDB0059597, HMDB0001173, HMDB0001185, HMDB0001967, HMDB0001257, HMDB0001256, HMDB0000988","General Background:
The polyamines are a group of positively charged organic polycations that are involved in many biological processes, including binding to nucleic acids, stabilizing membranes, and stimulating several enzymes [Tabor85, Abraham68, Frydman92, Huang90]. The most common are putrescine, spermidine, and spermine.

While it is clear that polyamines are essential for normal cell growth, we still do not fully understand their specific molecular functions in vivo [Tabor85]. Putrescine and spermidine are found in all life forms, while spermine is found mostly in eukaryotes.

Unlike spermidine, spermine is not essential for viability in eukaryotes. Exogenous spermine supported growth of spermidine-depleted cells only after its degradation into spermidine [Kramer96].

About this Pathway:
Spermine is formed by the addition of a propylamine moiety to spermidine, catalyzed by an aminopropyltransferase termed spermine synthase [Kajander89]. The source of the propylamine group is S-adenosyl 3-(methylsulfanyl)propylamine, a decarboxylated S-adenosyl-L-methionine, which is produced by the action of the pyruvoyl-containing enzyme S-adenosylmethionine decarboxylase [Xiong99]. The other product of the aminopropyltransferase reaction is S-methyl-5'-thioadenosine, which is recycled back to L-methionine.",NA,
Homo sapiens,ASPARAGINE-BIOSYNTHESIS,L-Asparagine biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,11,"HMDB0059597, HMDB0000148, HMDB0000168, HMDB0000538, HMDB0000223, HMDB0000641, HMDB0000208, HMDB0000250, HMDB0000045, HMDB0002111, HMDB0000191","General Background

Asparagine is the amide of L-aspartate and is not an essential amino acid. The amide group carries no charge under physiological pH and is readily hydrolyzed, converting L-asparagine back to L-aspartate. This process is thought to be one of several, related to the molecular basis for aging. Asparagine has a high propensity to hydrogen bond and is a common site of attachment for carbohydrates in N-linked glycosylation. It was the first amino acid to be isolated in 1806 from asparagus juice.

About this Pathway

The synthesis of L-asparagine starts with oxaloacetate in a transamination reaction catalyzed by aspartate aminotransferase 1 [DAniello05]. In mammals, L-aspartate is converted to L-asparagine in a reaction catalyzed by asparagine synthetase using L-glutamine as an amide donor [Van89]. The reaction requires magnesium ions and ATP and involves formation of a ¦Â-aspartyladenylate intermediate which is converted to L-asparagine by transfer of ammonia from L-glutamine to yield L-glutamate and AMP [Balasubramanian13].

There is considerable interest in asparagine metabolism since the discovery that asparaginases have anti-tumor activity in certain cancers, see L-asparagine degradation. Some tumors develop resistance to asparaginase treatment and this often correlates with higher asparagine synthetase activity.",NA,
Homo sapiens,ASPARAGINE-DEG1-PWY-1,L-Asparagine degradation,Metabolism,HumanCyc,Version 21.5 realased in 2017,10,"HMDB0059597, HMDB0041827, HMDB0000489, HMDB0000168, HMDB0001104, HMDB0000223, HMDB0000208, HMDB0002111, HMDB0000148, HMDB0000191","General Background

Asparagine is the amide of L-aspartate and is not an essential amino acid. It is synthesized in humans from oxaloacetate in L-asparagine biosynthesis. The amide group carries no charge under physiological pH and is readily hydrolyzed, converting L-asparagine back to L-aspartate. This process is thought to be one of several, related to the molecular basis for aging.

Asparagine has a high propensity to hydrogen bond and is a common site of attachment for carbohydrates in N-linked glycosylation. It was the first amino acid to be isolated in 1806 from asparagus juice.

About this Pathway

There are at least three human enzymes capable of hydrolyzing the amino acid L-asparagine to L-aspartate. The most studied is the lysosomal N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (AGA) which removes carbohydrate groups linked to asparagine, in the final step of cell surface glycoprotein degradation [Oinonen95]. It also has asparagine hydrolase activity.

The enzymes 60 kDa lysophospholipase and isoaspartyl peptidase/L-asparaginase catalyze the hydrolysis of L-asparagine to L-aspartate and ammonium [Nomme12]. The latter enzyme also exhibits ¦Â-aspartyl peptidase activity consistent with enzymes designated as plant-type asparaginases, cleaving a ¦Â-linked Asp residue from the N-terminus of a polypeptide.

The enzyme aspartate aminotransferase 1 catalyzes the transamination of L-aspartate to oxaloacetate which can subsequently enter either the TCA cycle or gluconeogenesis.

Asparaginases play a prominent role in chemotherapy, as cancer cells are dependent on the availability of extracellular L-asparagine (ASN). ASN depletion by administration of bacterial asparaginases interferes with the metabolism of the cancer cell leading to apoptosis [Nomme12]. None of the three human asparaginases have the required intrinsic kinetic property (low Km) for replacing bacterial asparaginases in chemotherapy. Recombinant isoaspartyl peptidase/L-asparaginase could be a substitute for the bacterial enzymes, if it can be modified to have enhanced catalytic activity [Nomme14].

The isoaspartyl peptidase/L-asparaginase may act synergistically with protein-L-isoaspartate(D-aspartate) O-methyltransferase to relieve accumulation of potentially toxic isoaspartyl peptides in mammalian brain and other tissues [Cantor09]. Formation of isoaspartyl peptide bonds occurs via the spontaneous degradation of peptides and proteins. This can decrease the biological activity of a protein, altering its susceptibility to proteolytic degradation and elicit autoimmunity [Aswad00].",NA,
Homo sapiens,ASPARTATESYN-PWY,L-Aspartate biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,4,"HMDB0000148, HMDB0000191, HMDB0000208, HMDB0000223","L-aspartate is synthesized from and degraded to oxaloacetate, an intermediate of the TCA cycle, by a reversible transamination reaction with L-glutamate, see malate-aspartate shuttle. This pathway provides a link between amino acid and carbohydrate metabolism.

Oxaloacetate, which is consumed in this pathway, is replenished from the TCA cycle and from the malate-aspartate shuttle.

In addition to being a constituent of proteins, L-aspartate is also a precursor for the biosynthesis of many other compounds including L-lysine, L-threonine, L-methionine and NAD+.",NA,
Homo sapiens,BETA-ALA-DEGRADATION-I-PWY,beta-Alanine degradation,Metabolism,HumanCyc,Version 21.5 realased in 2017,11,"HMDB0000217, HMDB0000148, HMDB0001487, HMDB0001206, HMDB0000221, HMDB0001423, HMDB0000208, HMDB0001967, HMDB0011111, HMDB0000056, HMDB0000902","General Background

¦Â-alanine is a naturally occurring ¦Â-amino acid found in animals, plants and microorganisms [Stinson69]. It differs from L-alanine (an ¦Á-amino acid) in the position of the amino group on the ¦Â carbon, rather than the ¦Á carbon.

¦Â-Alanine is synthesized in the liver, primarily by uracil degradation I (reductive). Unlike L-alanine, ¦Â-alanine is not incorporated into proteins. In mammals, much of the cellular pool of ¦Â-alanine is incorporated into the dipeptide carnosine.

There is considerable research interest in the possible role of ¦Â-alanine and carnosine as neurotransmitters. The inhibitory neurotransmitter ¦Ã-aminobutyrate (GABA) is also a substrate for liver transaminases. ¦Â-alanine can also be transaminated by a pyruvate-dependent enzyme in liver [Kontani99].

About this Pathway

¦Â-alanine is converted to 3-oxopropanoate by transamination of 2-oxoglutarate to L-glutamate [Schor01]. Malonate semialdehyde is then converted to acetyl-CoA and CO2 by oxidative decarboxylation [Kedishvili92].

The enzyme methylmalonate-semialdehyde dehydrogenase [acylating] is involved in both ¦Â-alanine degradation and L-valine degradation [Goodwin89]. This enzyme is unique among aldehyde dehydrogenases in its CoA dependency. It has been proposed that the formation of a CoA ester allows energy conservation during aldehyde oxidation [Harris93, Kedishvili92].",NA,
Homo sapiens,BGALACT-PWY,Lactose degradation III,Metabolism,HumanCyc,Version 21.5 realased in 2017,4,"HMDB0000186, HMDB0000516, HMDB0002111, HMDB0003449","In Escherichia coli the disaccharide lactose is degraded by hydrolysis of the ¦Â-1,4 glycosidic bond by ¦Â-galactosidase, producing ¦Â-D-glucose and ¦Â-D-galactose. The enzyme can also catalyze conversion of lactose to allolactose (¦Â-D-galactopyranosyl-(1-6)-D-glucopyranose) by transglycosylation, and can hydrolyze allolactose (in [Huber80]). Allolactose is the physiological inducer of this pathway.

Further metabolism of glucose and galactose inside the cell is thought to proceed by their initial transport out of the cell, followed by reentry. It has been shown that when lactose is added to a growing culture of Escherichia coli, galactose, glucose and allolactose reach high levels inside the cells and are rapidly effluxed into the medium [Huber80]. It has also been shown that an Escherichia coli mutant defective in the uptake of glucose and galactose grew poorly with lactose as a sole carbon source. Additional transport rate and radiotracer studies supported the efflux mechanism [Huber84]. No Escherichia coli genes specifically involved in sugar efflux during lactose metabolism have been conclusively identified. However, SetA and SetB, members of the SET (sugar efflux transporter) family may have a role [Liu99, Liu99a].

It has been suggested that as glucose reenters the cell it could be phosphorylated to glucose-1-phosphate by the phosphoenolpyruvate-phosphotransferase system (in [Huber80]). Glucose-1-phosphate could then be converted to glucose-6-phosphate by phosphoglucomutase and enter glycolysis. Galactose could reenter the cell by facilitated diffusion (in [Huber80]), or active transport systems galP, or mgl (Lin in [Neidhardt96]). Galactose can also be converted to glucose-1-phosphate (Fraenkel in [Neidhardt96]). (See EcoCyc pathways: glucose and glucose-1-phosphate degradation; galactose degradation I; and superpathway of glycolysis and Entner-Doudoroff).

The E. coli lacZ gene coding for ¦Â-galactosidase is the first of three structural genes of the historically significant lac operon. The study of this operon provided the primary basis for the original operon concept [Jacob61]. Lactose and other galactosides are transported into the cell by lactose permease, the product of the second structural gene of the operon [Abramson03]. The third structural gene codes for galactoside acetyltransferase (thiogalactoside transacetylase). The proposed function of this enzyme is acetylation of potentially toxic pyranosides that are exported from the cell, thereby preventing their reentry [Wang02b]. A review of biochemical studies of the three lac enzymes by Zabin and Fowler can be found in [Miller78].

Sinorhizobium meliloti is a soil bacterium that exists either free-living, or in a symbiotic nitrogen-fixing relationship in root nodules of leguminous plants such as alfalfa ( Medicago sativa) (in [Capela01]). R. meliloti requires large amounts of metabolic energy for nitrogen fixation and can utilize many compounds as carbon sources, including ¦Á-galactosides and ¦Â-galactosides [Bringhurst02] and reviewed in [Stowers85]. Nomenclature note: Sinorhizobium meliloti is also known as Sinorhizobium meliloti ( [Aneja99] and URL cited in [Galibert01]).

In Sinorhizobium meliloti Rm2011 (a derivative of SU47), two distinct ¦Â-galactosidase activities are present, one that is inducible, and another that is constitutive at a low level [Niel77] . The inducible ¦Â-galactosidase activity is necessary for growth on lactose, as mutants lacking the inducible enzyme cannot use lactose as a sole carbon source. The lactose utilization locus is located on the megaplasmid pRmeSU47b, one of the two megaplasmids present in R. meliloti. There is evidence to suggest that succinate also plays a role in regulating Rhizobium lactose utilization. R. meliloti grown on both lactose and succinate preferentially utilize succinate, repressing the inducible ¦Â-galactosidase activity even in the presence of lactose.

Unlike Escherichia coli, further catabolism of ¦Â-D-galactose in rhizobia is poorly understood [Timblin84]. Glucose catabolism in most rhizobia proceeds via the Entner-Doudoroff pathway, as reviewed in [Stowers85].

In Homo sapiens (humans), lactose is hydrolyzed by the intestinal enzyme lactase-phlorizin hydrolase, EC 3.2.1.108 (click on the link for details). This enzyme differs in substrate specificity from human intestinal ¦Â-galactosidase [Asp69]",NA,
Homo sapiens,BSUBPOLYAMSYN-PWY,Spermidine biosynthesis,Metabolism,HumanCyc,Version 21.5 realased in 2017,7,"HMDB0059597, HMDB0001173, HMDB0001185, HMDB0001414, HMDB0001967, HMDB0001257, HMDB0000988","General Background:
The polyamines are a group of positively charged organic polycations that are involved in many biological processes, including binding to nucleic acids, stabilizing membranes, and stimulating several enzymes [Tabor85, Abraham68, Frydman92, Huang90]. The most common are putrescine, spermidine, and spermine. While it is clear that polyamines are essential for normal cell growth, we still do not fully understand their specific molecular functions in vivo [Tabor85]. Putrescine and spermidine are found in all life forms, and spermine is found mostly in eukaryotes.

Putrescine can be formed directly from L-ornithine in putrescine biosynthesis III or indirectly from L-arginine in putrescine biosynthesis I and putrescine biosynthesis II in mammals [Mistry02, Zhu04].

About this Pathway:
Spermidine is formed by the addition of a propylamine moiety to putrescine, catalyzed by an aminopropyltransferase termed spermidine synthase [Kajander89].

The source of the propylamine group is S-adenosyl 3-(methylsulfanyl)propylamine, a decarboxylated S-adenosyl-L-methionine, which is produced by the action of the pyruvoyl-containing enzyme S-adenosylmethionine decarboxylase [Xiong99]. The other product of the aminopropyltransferase reaction is S-methyl-5'-thioadenosine, which is recycled back to L-methionine.",NA,
Homo sapiens,CHOLINE-BETAINE-ANA-PWY,Choline degradation,Metabolism,HumanCyc,Version 21.5 realased in 2017,7,"HMDB0059597, HMDB0001487, HMDB0000097, HMDB0000043, HMDB0001252, HMDB0002111, HMDB0000902","Background:
Choline plays a key role in several pathways and its concentration in vivo is carefully regulated. Choline is an essential nutrient for fetal and brain development. It is involved in phosphatidylcholine biosynthesis in humans and is metabolized to produce the neurotransmitter acetylcholine via choline O-acetyltransferase, or catabolized to glycine betaine [Salvi13]. Glycine betaine plays an important osmoprotectant role in mammals, protects from several other forms of cellular stress and functions as a methyl group donor [Lever10]. In mammals, choline degradation is involved in the epigenetic regulation of gene expression through DNA methylation [Mehedint10][Zeisel12].

This pathway continues as glycine betaine degradation II (mammalian) and is linked to folate transformations I, through the use of 5,6,7,8-tetrahydrofolate as a coenzyme for several of the reactions in glycine betaine degradation II (mammalian).

About This Pathway:
The conversion of choline to glycine betaine is performed by the action of two dehydrogenases and occurs in the mitochondria. Mitochondrial choline dehydrogenase converts choline to betaine aldehyde [Haubrich81]. Multifunctional mitochondrial ¦Á-aminoadipic semialdehyde dehydrogenase catalyzes the conversion of betaine aldehyde to glycine betaine [Brocker10].",NA,
