Group,L-Carnitine,L-Acetylcarnitine,Palmitoylcarnitine(AcCa(16:0),Decanoylcarnitine(AcCa(10:0),Isovalerylcarnitine(AcCa(5:0),Hexanoylcarnitine(AcCa(6:0),Isobutyrylcarnitine(AcCa(4:0),Octanoylcarnitine(AcCa(8:0),Propionylcarnitine(AcCa(3:0),Butyrylcarnitine(AcCa(4:0),Oleoylcarnitine(AcCa(18:1),Tetradecanoylcarnitine(AcCa(14:0),Valerylcarnitine(AcCa(5:0),9-Hexadecenoylcarnitine(AcCa(16:1),3-Hydroxyisovalerylcarnitine(AcCa(5:0-OH),Hexanoylcarnitine(AcCa(6:0)3,Hexanoylcarnitine(AcCa(6:0)1,Hexanoylcarnitine(AcCa(6:0)2,Hydroxybutyrylcarnitine(AcCa(4:0-OH),Creatine,Choline,Glutathione,L-Tyrosine,Creatinine,S-Adenosylhomocysteine,Spermine,N1-Acetylspermidine,Asymmetric dimethylarginine,Symmetric dimethylarginine,Proline betaine,L-Histidine,Taurine,Cysteineglutathione disulfide,L-Tryptophan,N-Acetylaspartylglutamic acid,N-Acetylglutamic acid,beta-Alanine,Glycine,L-Glutamic acid,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,L-Isoleucine,L-Lysine,L-Serine,L-Aspartic acid,Ornithine,Pyroglutamic acid,Urocanic acid,L-Arginine,L-Cysteine,L-Glutamine,L-Leucine,L-Methionine,N-Acetyl-L-alanine,N-Acetyl-L-aspartic acid,L-Valine,Citrulline,Phosphocreatine,O-Acetylserine,Oxidized glutathione,N-Acetyl-L-methionine,"Glutamate, gamma-methyl ester",N-Acetyl-beta-alanine,1-Methylhistidine,"N,N,N-trimethyl-5-aminovaleric acid",L-Cystine
Group 1,29.49026,27.21651,23.18345,22.11752,26.09435,22.34077,24.69045,22.04699,28.52361,23.67215,22.13634,22.20754,26.05892,22.20421,23.6087,17.867,17.29868,17.44912,22.25462,28.4486,26.5279,21.94689,27.64545,23.7747,23.77366,25.7064,26.19667,22.22722,22.22722,23.22985,23.21539,25.62465,25.70477,22.56707,25.0319,23.4729,24.49301,24.959,29.95188,24.86185,22.7587,26.11055,23.92133,26.48115,25.60455,21.73376,23.49679,28.90707,20.64242,29.87888,21.6134,25.74203,22.256,22.82796,25.51164,22.1868,24.88696,28.97407,24.30494,20.39428,24.28724,24.60082,25.74369,22.92184,27.23111,20.64743,22.08403,24.80948,25.73253
Group 1,29.5383,26.85888,23.36278,21.57624,25.67292,21.71427,24.27032,21.41536,28.24529,23.36897,22.23704,21.99972,25.60453,21.94164,23.34392,17.29981,16.94338,17.11116,21.91349,28.41652,25.22944,22.24427,27.13781,23.84994,22.87806,24.12706,26.06293,22.30299,22.30299,22.98627,23.22571,25.92867,24.21947,21.78963,24.43727,23.37274,23.75658,23.67508,29.40145,24.05502,22.20123,25.30549,23.35056,25.66906,24.8082,21.24442,22.8854,28.46442,20.12882,29.43393,21.3536,25.103,20.9649,21.60484,24.7403,21.39477,24.48323,28.61267,23.43542,19.91782,23.92684,25.72232,24.91272,22.6726,26.76452,20.27798,22.84406,24.59044,23.86998
Group 1,29.57606,27.47521,22.91362,22.20274,26.14199,22.61526,24.81588,22.19421,28.66236,23.73653,21.86444,22.10429,26.09034,22.16671,23.77963,17.8245,17.58227,17.45059,22.40994,28.47128,26.05614,21.46357,27.68411,23.93618,24.17651,26.51804,26.36281,22.55041,22.55041,23.1609,23.10426,25.47211,25.61359,22.49366,24.95455,23.2349,24.39341,25.12761,29.81027,24.47332,22.46159,25.93751,23.69393,26.19278,25.33675,21.66588,23.31953,28.56033,20.45412,29.73417,21.21395,25.64127,23.00754,22.28341,25.20531,21.99562,24.70523,28.6028,24.1041,20.16615,24.17202,24.22357,24.63943,22.57075,27.11242,20.59397,22.59307,24.94725,26.44439
Group 1,29.60389,27.20249,23.53081,22.34297,26.12331,22.7749,24.7989,22.32908,28.61124,23.69909,22.6775,22.41466,26.09881,22.60532,23.74677,17.76125,17.49198,17.38944,22.29613,28.455,25.56391,21.91231,27.63658,23.78036,23.85249,26.06408,26.44535,22.56617,22.56617,23.27219,23.18993,25.54026,25.69099,22.44172,24.94589,23.33004,24.20951,24.73857,29.62227,24.47929,22.41216,25.78522,23.57761,26.24417,25.30988,21.47992,23.2661,28.46602,20.3587,29.56142,20.22722,25.42647,22.36445,21.1955,25.23546,21.81427,24.65991,28.68742,24.09135,20.11552,24.15605,24.72007,25.28207,22.57481,26.9034,20.39323,22.72401,24.77594,25.82236
Group 1,29.68457,27.18596,22.81095,21.52267,26.02144,21.87277,24.87208,21.32398,28.55658,23.63767,21.7818,21.88796,25.9611,21.71972,23.64651,13.75039,17.41041,17.57144,22.33555,28.32063,25.40288,30.70614,27.48203,23.83747,23.96863,25.53418,26.08512,22.52887,22.52887,23.24017,23.25162,25.86026,19.03553,21.92371,24.52967,23.47035,24.14761,23.30699,29.26541,24.32886,22.30052,25.72643,23.51506,26.22473,25.39947,21.25285,23.17724,28.77337,20.25281,26.74363,20.81617,25.59518,20.9649,22.63043,25.18814,21.52572,24.78817,28.98046,23.79753,19.97715,24.34844,25.19109,26.91708,23.19422,23.54289,19.82752,22.42885,24.7938,18.11938
Group 1,29.87102,27.27538,23.42437,21.88329,26.1535,22.29943,24.83047,21.77431,28.65356,23.81891,22.54483,22.34099,26.12637,22.51117,23.82899,17.73038,17.46846,17.46084,22.34123,28.61046,25.72726,21.86172,27.52621,23.75752,23.68546,25.19521,26.28109,22.51967,22.51967,23.29291,22.96099,25.93324,25.54513,21.93285,24.44131,23.64423,24.08057,24.119,29.61589,24.1934,22.09634,25.48004,23.40458,26.21535,25.05496,21.09051,23.01099,28.70967,20.53621,28.87231,20.61977,25.2639,20.9649,22.44437,24.97079,21.56052,24.63029,28.72955,23.62457,20.20083,24.33541,25.28856,26.89706,23.02249,26.25827,20.30297,22.90593,25.05329,24.20838
Group 2,29.67667,27.45825,23.04431,22.48782,25.98006,22.74536,24.60533,22.5962,28.52478,23.59475,22.03175,22.25869,26.06919,21.83567,23.821,17.89344,17.80252,17.87293,22.20801,28.15006,25.99735,21.57091,27.41021,23.79039,23.69736,25.65297,26.44072,22.62805,22.62805,23.16751,22.91392,25.63278,25.87156,22.41401,24.87984,23.63173,24.34043,24.71073,29.64121,24.32908,22.38938,25.62474,23.73372,26.19889,25.1231,21.32266,23.50786,28.62445,20.14557,29.39,20.80644,25.08369,20.23208,22.4863,25.04376,21.48864,24.69997,28.71984,23.96891,19.84014,24.22022,24.43181,26.30763,22.32605,26.80446,20.17172,21.97862,24.9745,25.09529
Group 2,29.60153,27.17268,23.15415,22.84387,25.73466,22.72542,24.3731,22.67497,28.3605,23.47925,22.13894,22.48928,25.88428,22.13444,23.49579,17.77216,17.53114,17.52998,22.18599,28.06653,25.96384,21.61018,27.26225,24.12637,23.43013,25.92499,26.20952,22.31386,22.31386,23.21046,22.54349,25.63864,25.83335,22.47327,24.85916,23.60807,24.19768,24.50896,29.47383,24.27532,22.13006,25.48769,23.50539,25.78542,25.08016,21.22411,23.25281,28.44944,19.98508,29.37007,20.73936,24.8751,21.95561,22.41669,24.9294,21.52023,24.52218,28.45127,23.9394,19.72513,24.18889,24.44028,26.03446,22.19788,26.78737,20.17886,22.1277,24.91187,25.40286
Group 2,29.3888,26.58764,22.81549,22.06448,25.31192,21.99113,23.86462,21.9688,27.89963,23.04801,21.5494,21.74783,25.44741,21.46862,23.07647,17.24121,17.04648,17.3102,21.66734,27.99187,25.66928,22.30163,26.90377,23.52406,22.41047,23.62895,26.10459,22.32652,22.32652,22.88585,22.74126,25.7553,23.93283,22.02822,24.4736,23.66878,23.44223,23.4314,29.1836,23.93393,21.86029,24.89316,23.11523,25.17496,24.4635,20.9497,22.95633,28.41735,19.48289,29.40879,21.8583,24.48144,19.02113,22.07755,24.62539,21.1969,23.92895,28.38497,23.39297,19.27285,23.67822,25.40717,25.03135,22.17841,26.65389,19.6242,21.87672,24.4442,23.87535
Group 2,29.68925,27.18317,22.39285,22.55407,25.87085,22.76366,24.40092,22.58622,28.39829,23.53028,21.24656,21.86757,25.98433,21.53442,23.60029,17.69526,17.67506,17.81945,22.27983,28.16988,25.96498,21.72955,27.37109,23.83943,23.43063,26.58197,26.31284,22.52694,22.52694,23.13283,23.13645,25.75602,26.06449,22.59293,24.91871,23.69925,24.16976,24.67666,29.55311,24.36351,22.20978,25.45588,23.47421,25.73065,25.13803,21.5157,23.26367,28.64243,20.0862,29.2201,21.2299,25.03824,22.3634,22.01006,25.05073,21.59162,24.57375,28.33886,23.90715,19.81591,24.25303,24.51875,26.32528,22.07736,26.61312,20.14508,22.15573,24.97647,25.76324
